380 0.00000 0.00004 0.0000
385 0.31250 0.00006 0.0000
390 0.40833 0.00012 0.0000
395 0.47465 0.00022 0.0001
400 0.42929 0.00040 0.0002
405 0.56250 0.00064 0.0004
410 0.51240 0.00121 0.0006
415 0.55046 0.00218 0.0012
420 0.60250 0.00400 0.0024
425 0.64795 0.00730 0.0047
430 0.67328 0.01160 0.0078
435 0.68943 0.01684 0.0116
440 0.72609 0.02300 0.0167
445 0.76342 0.02980 0.0227
450 0.75921 0.03800 0.0288
455 0.77604 0.04800 0.0372
460 0.78167 0.06000 0.0469
465 0.79432 0.07390 0.0587
470 0.80128 0.09098 0.0729
475 0.81083 0.11260 0.0913
480 0.81211 0.13902 0.1129
485 0.82162 0.16930 0.1391
490 0.81627 0.20802 0.1698
495 0.81052 0.25860 0.2096
500 0.80867 0.32300 0.2612
505 0.79548 0.40730 0.3240
510 0.79066 0.50300 0.3977
515 0.79168 0.60820 0.4815
520 0.81085 0.71000 0.5757
525 0.83800 0.79320 0.6647
530 0.86740 0.86200 0.7477
535 0.89348 0.91485 0.8174
540 0.92338 0.95400 0.8809
545 0.95022 0.98030 0.9315
550 0.97110 0.99495 0.9662
555 0.98810 1.00000 0.9881
560 1.00000 0.99500 0.9950
565 1.00542 0.97860 0.9839
570 1.00105 0.95200 0.9530
575 0.98656 0.91540 0.9031
580 0.97874 0.87000 0.8515
585 0.97133 0.81630 0.7929
590 0.94663 0.75700 0.7166
595 0.93251 0.69490 0.6480
600 0.92155 0.63100 0.5815
605 0.90438 0.56680 0.5126
610 0.89463 0.50300 0.4500
615 0.89030 0.44120 0.3928
620 0.88110 0.38100 0.3357
625 0.87508 0.32100 0.2809
630 0.87396 0.26500 0.2316
635 0.87327 0.21700 0.1895
640 0.87657 0.17500 0.1534
645 0.88278 0.13820 0.1220
650 0.87944 0.10700 0.0941
655 0.88725 0.08160 0.0724
660 0.87869 0.06100 0.0536
665 0.86362 0.04458 0.0385
670 0.87500 0.03200 0.0280
675 0.87500 0.02320 0.0203
680 0.87059 0.01700 0.0148
685 0.87248 0.01192 0.0104
690 0.86480 0.00821 0.0071
695 0.87891 0.00572 0.0050
700 0.85568 0.00410 0.0035
705 0.85695 0.00293 0.0025
710 0.85127 0.00209 0.0018
715 0.81536 0.00148 0.0012
720 0.83095 0.00105 0.0009
725 0.84459 0.00074 0.0006
730 0.81731 0.00052 0.0004
735 0.80310 0.00036 0.0003
740 0.80257 0.00025 0.0002
745 0.75625 0.00017 0.0001
750 0.75000 0.00012 0.0001
755 0.76651 0.00008 0.0001
760 0.75000 0.00006 0.0000
765 0.00000 0.00004 0.0000
770 0.00000 0.00003 0.0000
775 0.00000 0.00002 0.0000
780 0.00000 0.00001 0.0000
