380 0.021 0.0204 -0.0106 0.9902 0.002 0.0000 -0.0000 0.0019
385 0.021 0.0204 -0.0106 0.9902 0.003 0.0001 -0.0000 0.0028
390 0.021 0.0204 -0.0106 0.9902 0.006 0.0001 -0.0001 0.0056
395 0.021 0.0204 -0.0106 0.9902 0.010 0.0002 -0.0001 0.0102
400 0.021 0.0204 -0.0106 0.9902 0.019 0.0004 -0.0002 0.0185
405 0.022 0.0191 -0.0101 0.9910 0.029 0.0005 -0.0003 0.0284
410 0.023 0.0177 -0.0096 0.9919 0.052 0.0009 -0.0005 0.0518
415 0.025 0.0162 -0.0089 0.9927 0.088 0.0014 -0.0008 0.0873
420 0.029 0.0137 -0.0074 0.9937 0.138 0.0019 -0.0010 0.1375
425 0.033 0.0114 -0.0060 0.9946 0.223 0.0025 -0.0013 0.2214
430 0.039 0.0072 -0.0037 0.9965 0.299 0.0022 -0.0011 0.2980
435 0.047 0.0011 -0.0005 0.9994 0.359 0.0004 -0.0002 0.3590
440 0.058 -0.0070 0.0039 1.0031 0.395 -0.0028 0.0015 0.3959
445 0.071 -0.0178 0.0093 1.0085 0.417 -0.0074 0.0039 0.4207
450 0.088 -0.0315 0.0161 1.0154 0.432 -0.0136 0.0070 0.4389
455 0.116 -0.0487 0.0264 1.0223 0.413 -0.0201 0.0109 0.4221
460 0.157 -0.0697 0.0405 1.0292 0.381 -0.0266 0.0154 0.3921
465 0.229 -0.0983 0.0632 1.0351 0.323 -0.0317 0.0204 0.3343
470 0.338 -0.1376 0.0970 1.0406 0.269 -0.0370 0.0261 0.2800
475 0.519 -0.1990 0.1520 1.0470 0.217 -0.0432 0.0330 0.2274
480 0.805 -0.2846 0.2367 1.0479 0.173 -0.0492 0.0409 0.1810
485 1.267 -0.4019 0.3689 1.0330 0.134 -0.0537 0.0493 0.1380
490 1.959 -0.5527 0.5613 0.9914 0.106 -0.0587 0.0596 0.1053
495 3.001 -0.7480 0.8440 0.9040 0.086 -0.0645 0.0727 0.0779
500 4.236 -0.9494 1.1727 0.7767 0.076 -0.0724 0.0894 0.0592
505 5.424 -1.0800 1.4750 0.6050 0.075 -0.0811 0.1108 0.0454
510 6.347 -1.1203 1.6964 0.4239 0.079 -0.0888 0.1344 0.0336
515 6.729 -1.0311 1.7647 0.2664 0.090 -0.0932 0.1595 0.0241
520 6.657 -0.8637 1.7114 0.1523 0.107 -0.0921 0.1825 0.0162
525 6.288 -0.6739 1.5849 0.0890 0.126 -0.0850 0.1999 0.0112
530 5.839 -0.4879 1.4406 0.0473 0.148 -0.0720 0.2127 0.0070
535 5.367 -0.3165 1.2944 0.0221 0.170 -0.0540 0.2206 0.0038
540 4.900 -0.1617 1.1530 0.0087 0.195 -0.0315 0.2245 0.0017
545 4.479 -0.0279 1.0267 0.0012 0.219 -0.0061 0.2247 0.0003
550 4.110 0.0859 0.9166 -0.0025 0.242 0.0208 0.2219 -0.0006
555 3.739 0.1990 0.8064 -0.0054 0.267 0.0532 0.2157 -0.0014
560 3.389 0.3032 0.7029 -0.0061 0.294 0.0890 0.2064 -0.0018
565 3.062 0.3988 0.6068 -0.0056 0.320 0.1274 0.1939 -0.0018
570 2.762 0.4864 0.5185 -0.0049 0.345 0.1676 0.1787 -0.0017
575 2.487 0.5664 0.4376 -0.0040 0.368 0.2085 0.1611 -0.0015
580 2.242 0.6376 0.3655 -0.0031 0.388 0.2474 0.1418 -0.0012
585 2.026 0.7003 0.3020 -0.0023 0.403 0.2822 0.1217 -0.0009
590 1.829 0.7572 0.2442 -0.0014 0.414 0.3134 0.1011 -0.0006
595 1.672 0.8031 0.1979 -0.0010 0.416 0.3338 0.0823 -0.0004
600 1.543 0.8406 0.1600 -0.0006 0.409 0.3438 0.0654 -0.0002
605 1.430 0.8738 0.1267 -0.0005 0.396 0.3463 0.0502 -0.0002
610 1.338 0.9010 0.0995 -0.0005 0.376 0.3388 0.0374 -0.0002
615 1.267 0.9219 0.0786 -0.0005 0.348 0.3210 0.0274 -0.0002
620 1.211 0.9385 0.0620 -0.0005 0.315 0.2954 0.0195 -0.0002
625 1.163 0.9526 0.0479 -0.0005 0.276 0.2630 0.0132 -0.0001
630 1.125 0.9639 0.0366 -0.0005 0.236 0.2271 0.0086 -0.0001
635 1.093 0.9732 0.0273 -0.0005 0.199 0.1932 0.0054 -0.0001
640 1.070 0.9799 0.0206 -0.0005 0.164 0.1602 0.0034 -0.0001
645 1.052 0.9853 0.0152 -0.0005 0.131 0.1294 0.0020 -0.0001
650 1.038 0.9889 0.0111 0.0000 0.103 0.1020 0.0011 0.0000
655 1.028 0.9917 0.0083 0.0000 0.079 0.0787 0.0007 0.0000
660 1.021 0.9937 0.0063 0.0000 0.060 0.0593 0.0004 0.0000
665 1.017 0.9950 0.0050 0.0000 0.044 0.0436 0.0002 0.0000
670 1.013 0.9961 0.0039 0.0000 0.032 0.0315 0.0001 0.0000
675 1.010 0.9971 0.0029 0.0000 0.023 0.0229 0.0001 0.0000
680 1.008 0.9976 0.0024 0.0000 0.017 0.0168 0.0000 0.0000
685 1.005 0.9985 0.0015 0.0000 0.012 0.0118 0.0000 0.0000
690 1.002 0.9993 0.0007 0.0000 0.008 0.0082 0.0000 0.0000
695 1.001 0.9997 0.0003 0.0000 0.006 0.0057 0.0000 0.0000
700 1.000 1.0000 0.0000 0.0000 0.004 0.0041 0.0000 0.0000
705 1.000 1.0000 0.0000 0.0000 0.003 0.0029 0.0000 0.0000
710 1.000 1.0000 0.0000 0.0000 0.002 0.0021 0.0000 0.0000
715 1.000 1.0000 0.0000 0.0000 0.001 0.0015 0.0000 0.0000
720 1.000 1.0000 0.0000 0.0000 0.001 0.0011 0.0000 0.0000
725 1.000 1.0000 0.0000 0.0000 0.001 0.0007 0.0000 0.0000
730 1.000 1.0000 0.0000 0.0000 0.001 0.0005 0.0000 0.0000
